PartitionKey,RowKey,Timestamp,Value
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_SaveAsTemplate,20/12/2018,Save As Template
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_CostSummary,6/11/2018,Cost Summary
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_BasicDetails,6/11/2018,Basic Details
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_BD_DocumentId,6/11/2018,Document Number
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_BD_Type,6/11/2018,Type
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_BD_ProductName,6/11/2018,Product Name
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_BD_BaseQuantity,6/11/2018,Base Quantity
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_BD_BaseUOM,6/11/2018,Base UOM
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_BD_Volume,6/11/2018,Volume
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_BD_Category,6/11/2018,Category
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_BD_Region,6/11/2018,Region
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_BD_BusinessUnit,6/11/2018,Business Unit
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_BD_Supplier,6/11/2018,Supplier
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_BD_CurrencyType,6/11/2018,Currency Type
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_BD_CurrentCost,6/11/2018,Current Cost
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_BD_ShouldCost,6/11/2018,Should Cost
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_ProductDetails,8/3/2018,Product Details
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_PD_SEQ,8/3/2018,SEQ
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_PD_Product,8/3/2018,Product
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_PD_UOM,8/3/2018,UOM
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_PD_Quantity,8/3/2018,Quantity
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_PD_CostSource,8/3/2018,Cost Source
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_PD_IndexName,8/3/2018,Index Name
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_PD_Cost,8/3/2018,Cost
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_PD_TotalCost,8/3/2018,Total Cost
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_ConversionOtherCosts,8/3/2018,Conversion & Other Costs
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_COC_SEQ,8/3/2018,SEQ
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_COC_CostGroup,8/3/2018,Cost Group
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_COC_CostSource,8/3/2018,Cost Source
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_COC_Value,8/3/2018,Value
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_TeamMembers,8/3/2018,Team Members
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_TMS_TeamMember,8/3/2018,Team Member
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_TMS_VIEWER,8/3/2018,Viewer
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_TMS_TEAMREVIEWER,8/3/2018,Team Reviewer
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_ACT_SendForReview,6/11/2018,Send For Review
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_ACT_Cancel,6/11/2018,Cancel
0.GEP.Cumulus.P2P.Resources.en-US,P2P_INV_Lines,02/07/2019,Lines,
0.GEP.Cumulus.P2P.Resources.en-US,P2P_INV_Period,02/07/2019,Period,
0.GEP.Cumulus.P2P.Resources.en-US,P2P_INV_LineDetails,02/07/2019,Line Details,
0.GEP.Cumulus.P2P.Resources.en-US,P2P_INV_Accounting,02/07/2019,Accounting,
0.GEP.Cumulus.P2P.Resources.en-US,P2P_INV_Cancel,02/07/2019, Cancel
0.GEP.Cumulus.P2P.Resources.en-US,P2P_DM_ACT_SaveAsDraft,6/11/2018,Save As Draft,
0.GEP.Cumulus.P2P.Resources.en-US,P2P_5_OverQuantity_Exception_Definition,30-07-2018,The total invoiced quantity is more than the total receipt/ordered quantity for line(s) or the receipt is missing altogether.
0.GEP.Cumulus.P2P.Resources.en-US,P2P_5_OverQuantity_Exception_Resolution,30-07-2018,"To resolve this exception, manually create the remaining receipt/change order. Alternatively, create an IR such that remaining receipt/change order is automatically created when the IR is accepted and approved."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_9_OverUnitPrice_Exception_Definition,30-07-2018,The unit price on the invoice line is more than unit price on the order (after considering tolerance).
0.GEP.Cumulus.P2P.Resources.en-US,P2P_9_OverUnitPrice_Exception_Resolution,30-07-2018,"To resolve this exception, manually create a change order for the revised price. Alternatively, create an IR such that a change order with the revised unit price is automatically created when the IR is accepted and approved."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_12_OverItemValue_Exception_Definition,30-07-2018,Item Value (Quantity * Unit Price) on Invoice line is more than that on Order.
0.GEP.Cumulus.P2P.Resources.en-US,P2P_12_OverItemValue_Exception_Resolution,30-07-2018,"To resolve this exception, manually create a change order with the updated line item value or have a Super AP user edit the line item value on this invoice & re-trigger matching. Alternatively, create an IR such that a change order with the line item value is automatically created when the IR is accepted and approved."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_15_OverItemTotal_Exception_Definition,30-07-2018,Item Total (Sum of all Item Values) across all Invoices is more than that on order (after considering tolerance). It is a header level exception.
0.GEP.Cumulus.P2P.Resources.en-US,P2P_15_OverItemTotal_Exception_Resolution,30-07-2018,"To resolve this exception, manually create a change order with the updated item total or have a Super AP user edit the item total on this invoice & re-trigger matching. Alternatively, create an IR such that a change order with the updated item total is automatically created when the IR is accepted and approved."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_18_OverTax_Exception_Definition,30-07-2018,Calculated tax percentage on a line(s) on Invoice is more than that on Order (after considering tolerance).
0.GEP.Cumulus.P2P.Resources.en-US,P2P_18_OverTax_Exception_Resolution,30-07-2018,"To resolve this exception, manually create a change order with the updated tax or have a Super AP user edit the tax on this invoice & re-trigger matching."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_21_OverShipping_Exception_Definition,30-07-2018,Shipping charges on invoice line is more than that on Order (after considering tolerance).
0.GEP.Cumulus.P2P.Resources.en-US,P2P_21_OverShipping_Exception_Resolution,30-07-2018,"To resolve this exception, manually create a change order with the updated shipping charges or have a Super AP user edit the shipping charges on this invoice & re-trigger matching."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_24_OverCharges_Exception_Definition,30-07-2018,Other charges on invoice line is more than that on Order (after considering tolerance).
0.GEP.Cumulus.P2P.Resources.en-US,P2P_24_OverCharges_Exception_Resolution,30-07-2018,"To resolve this exception, manually create a change order with the updated Other charges or have a Super AP user edit the Other charges on this invoice & re-trigger matching."
0.GEP.Cumulus.P2P.Resources.en-US,P2P_27_OverTotalAmount_Exception_Definition,30-07-2018,Total value summed across all invoices is more than that on order (after considering tolerance). It is a header level exception.
